"table","variable","label","class","n_missing","pct_missing","n_unique"
"DR1TOT_L","DR1TATOA","Added alpha-tocopherol (Vitamin E) (mg)","numeric",2166,24.4,468
"DR1TOT_L","DR1TRET","Retinol (mcg)","numeric",2166,24.4,1149
"DR1TOT_L","DR1TVARA","Vitamin A, RAE (mcg)","numeric",2166,24.4,1556
"DR1TOT_L","DR1TACAR","Alpha-carotene (mcg)","numeric",2166,24.4,1383
"DR1TOT_L","DR1TBCAR","Beta-carotene (mcg)","numeric",2166,24.4,3217
"DR1TOT_L","DR1TCRYP","Beta-cryptoxanthin (mcg)","numeric",2166,24.4,600
"DR1TOT_L","DR1TLYCO","Lycopene (mcg)","numeric",2166,24.4,2886
"DR1TOT_L","DR1TLZ","Lutein + zeaxanthin (mcg)","numeric",2166,24.4,2649
"DR1TOT_L","DR1TVB1","Thiamin (Vitamin B1) (mg)","numeric",2166,24.4,4160
"DR1TOT_L","DR1TVB2","Riboflavin (Vitamin B2) (mg)","numeric",2166,24.4,4496
"DR1TOT_L","DR1TNIAC","Niacin (mg)","numeric",2166,24.4,6416
"DR1TOT_L","DR1TVB6","Vitamin B6 (mg)","numeric",2166,24.4,4425
"DR1TOT_L","DR1TFOLA","Total folate (mcg)","numeric",2166,24.4,887
"DR1TOT_L","DR1TFA","Folic acid (mcg)","numeric",2166,24.4,548
"DR1TOT_L","DR1TFF","Food folate (mcg)","numeric",2166,24.4,643
"DR1TOT_L","DR1TFDFE","Folate, DFE (mcg)","numeric",2166,24.4,1096
"DR1TOT_L","DR1TCHL","Total choline (mg)","numeric",2166,24.4,5242
"DR1TOT_L","DR1TVB12","Vitamin B12 (mcg)","numeric",2166,24.4,2156
"DR1TOT_L","DR1TB12A","Added vitamin B12 (mcg)","numeric",2166,24.4,516
"DR1TOT_L","DR1TVC","Vitamin C (mg)","numeric",2166,24.4,3394
"DR1TOT_L","DR1TVD","Vitamin D (D2 + D3) (mcg)","numeric",2166,24.4,573
"DR1TOT_L","DR1TVK","Vitamin K (mcg)","numeric",2166,24.4,3722
"DR1TOT_L","DR1TCALC","Calcium (mg)","numeric",2166,24.4,1914
"DR1TOT_L","DR1TPHOS","Phosphorus (mg)","numeric",2166,24.4,2184
"DR1TOT_L","DR1TMAGN","Magnesium (mg)","numeric",2166,24.4,737
"DR1TOT_L","DR1TIRON","Iron (mg)","numeric",2166,24.4,3958
"DR1TOT_L","DR1TZINC","Zinc (mg)","numeric",2166,24.4,3621
"DR1TOT_L","DR1TCOPP","Copper (mg)","numeric",2166,24.4,3653
"DR1TOT_L","DR1TSODI","Sodium (mg)","numeric",2166,24.4,3702
"DR1TOT_L","DR1TPOTA","Potassium (mg)","numeric",2166,24.4,3309
"DR1TOT_L","DR1TSELE","Selenium (mcg)","numeric",2166,24.4,3634
"DR1TOT_L","DR1TCAFF","Caffeine (mg)","numeric",2166,24.4,602
"DR1TOT_L","DR1TTHEO","Theobromine (mg)","numeric",2166,24.4,343
"DR1TOT_L","DR1TALCO","Alcohol (gm)","numeric",2166,24.4,341
"DR1TOT_L","DR1TMOIS","Moisture (gm)","numeric",2166,24.4,6672
"DR1TOT_L","DR1TS040","SFA 4:0 (Butanoic) (gm)","numeric",2166,24.4,2169
"DR1TOT_L","DR1TS060","SFA 6:0 (Hexanoic) (gm)","numeric",2166,24.4,1767
"DR1TOT_L","DR1TS080","SFA 8:0 (Octanoic) (gm)","numeric",2166,24.4,1663
"DR1TOT_L","DR1TS100","SFA 10:0 (Decanoic) (gm)","numeric",2166,24.4,2495
"DR1TOT_L","DR1TS120","SFA 12:0 (Dodecanoic) (gm)","numeric",2166,24.4,3354
"DR1TOT_L","DR1TS140","SFA 14:0 (Tetradecanoic) (gm)","numeric",2166,24.4,5004
"DR1TOT_L","DR1TS160","SFA 16:0 (Hexadecanoic) (gm)","numeric",2166,24.4,6291
"DR1TOT_L","DR1TS180","SFA 18:0 (Octadecanoic) (gm)","numeric",2166,24.4,5914
"DR1TOT_L","DR1TM161","MFA 16:1 (Hexadecenoic) (gm)","numeric",2166,24.4,3698
"DR1TOT_L","DR1TM181","MFA 18:1 (Octadecenoic) (gm)","numeric",2166,24.4,6469
"DR1TOT_L","DR1TM201","MFA 20:1 (Eicosenoic) (gm)","numeric",2166,24.4,1832
"DR1TOT_L","DR1TM221","MFA 22:1 (Docosenoic) (gm)","numeric",2166,24.4,398
"DR1TOT_L","DR1TP182","PFA 18:2 (Octadecadienoic) (gm)","numeric",2166,24.4,6380
"DR1TOT_L","DR1TP183","PFA 18:3 (Octadecatrienoic) (gm)","numeric",2166,24.4,4502
"DR1TOT_L","DR1TP184","PFA 18:4 (Octadecatetraenoic) (gm)","numeric",2166,24.4,224
"DR1TOT_L","DR1TP204","PFA 20:4 (Eicosatetraenoic) (gm)","numeric",2166,24.4,827
"DR1TOT_L","DR1TP205","PFA 20:5 (Eicosapentaenoic) (gm)","numeric",2166,24.4,494
"DR1TOT_L","DR1TP225","PFA 22:5 (Docosapentaenoic) (gm)","numeric",2166,24.4,410
"DR1TOT_L","DR1TP226","PFA 22:6 (Docosahexaenoic) (gm)","numeric",2166,24.4,590
"DR1TOT_L","DR1_300","Compare food consumed yesterday to usual","numeric",2063,23.3,5
"DR1TOT_L","DR1_320Z","Total plain water drank yesterday (gm)","numeric",2106,23.8,678
"DR1TOT_L","DR1_330Z","Total tap water drank yesterday (gm)","numeric",2106,23.8,405
"DR1TOT_L","DR1BWATZ","Total bottled water drank yesterday (gm)","numeric",2106,23.8,372
"DR1TOT_L","DR1TWSZ","Tap water source","numeric",2063,23.3,5
"DR1TOT_L","DRD340","Shellfish eaten during past 30 days","numeric",2166,24.4,5
"DR1TOT_L","DRD350A","Clams eaten during past 30 days","numeric",5827,65.8,3
"DR1TOT_L","DRD350AQ","# of times clams eaten in past 30 days","numeric",8604,97.1,8
"DR1TOT_L","DRD350B","Crabs eaten during past 30 days","numeric",5827,65.8,3
"DR1TOT_L","DRD350BQ","# of times crabs eaten in past 30 days","numeric",8312,93.8,11
"DR1TOT_L","DRD350C","Crayfish eaten during past 30 days","numeric",5827,65.8,3
"DR1TOT_L","DRD350CQ","# of times crayfish eaten past 30 days","numeric",8798,99.3,7
"DR1TOT_L","DRD350D","Lobsters eaten during past 30 days","numeric",5827,65.8,3
"DR1TOT_L","DRD350DQ","# of times lobsters eaten past 30 days","numeric",8547,96.5,7
"DR1TOT_L","DRD350E","Mussels eaten during past 30 days","numeric",5827,65.8,3
"DR1TOT_L","DRD350EQ","# of times mussels eaten in past 30 days","numeric",8643,97.6,6
"DR1TOT_L","DRD350F","Oysters eaten during past 30 days","numeric",5827,65.8,3
"DR1TOT_L","DRD350FQ","# of times oysters eaten in past 30 days","numeric",8630,97.4,10
"DR1TOT_L","DRD350G","Scallops eaten during past 30 days","numeric",5827,65.8,3
"DR1TOT_L","DRD350GQ","# of times scallops eaten past 30 days","numeric",8503,96,7
"DR1TOT_L","DRD350H","Shrimp eaten during past 30 days","numeric",5827,65.8,3
"DR1TOT_L","DRD350HQ","# of times shrimp eaten in past 30 days","numeric",6200,70,17
"DR1TOT_L","DRD350I","Other shellfish eaten past 30 days","numeric",5828,65.8,3
"DR1TOT_L","DRD350IQ","# of times other shellfish eaten","numeric",8637,97.5,11
"DR1TOT_L","DRD350J","Other unknown shellfish eaten past 30 d","numeric",5828,65.8,3
